2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 34.808%, elapsed 1894 s, estimated 5443 s, iters = {MDP: 456752}
> Progress 34.886%, elapsed 1897 s, estimated 5439 s, iters = {MDP: 457779}
> Progress 34.963%, elapsed 1900 s, estimated 5436 s, iters = {MDP: 458792}
> Progress 35.037%, elapsed 1903 s, estimated 5433 s, iters = {MDP: 459768}
> Progress 35.107%, elapsed 1906 s, estimated 5430 s, iters = {MDP: 460682}
> Progress 35.175%, elapsed 1909 s, estimated 5428 s, iters = {MDP: 461580}
> Progress 35.241%, elapsed 1912 s, estimated 5427 s, iters = {MDP: 462437}
> Progress 35.306%, elapsed 1915 s, estimated 5425 s, iters = {MDP: 463290}
> Progress 35.366%, elapsed 1918 s, estimated 5425 s, iters = {MDP: 464079}
> Progress 35.427%, elapsed 1921 s, estimated 5424 s, iters = {MDP: 464877}
> Progress 35.484%, elapsed 1924 s, estimated 5423 s, iters = {MDP: 465631}
> Progress 35.54%, elapsed 1927 s, estimated 5423 s, iters = {MDP: 466361}
> Progress 35.594%, elapsed 1930 s, estimated 5424 s, iters = {MDP: 467076}
> Progress 35.648%, elapsed 1933 s, estimated 5424 s, iters = {MDP: 467782}
> Progress 35.701%, elapsed 1936 s, estimated 5424 s, iters = {MDP: 468476}
> Progress 35.751%, elapsed 1939 s, estimated 5425 s, iters = {MDP: 469138}
> Progress 35.805%, elapsed 1942 s, estimated 5425 s, iters = {MDP: 469839}
> Progress 35.899%, elapsed 1945 s, estimated 5419 s, iters = {MDP: 471078}
> Progress 35.986%, elapsed 1948 s, estimated 5414 s, iters = {MDP: 472222}
> Progress 36.072%, elapsed 1951 s, estimated 5410 s, iters = {MDP: 473344}
> Progress 36.152%, elapsed 1954 s, estimated 5406 s, iters = {MDP: 474392}
> Progress 36.228%, elapsed 1957 s, estimated 5403 s, iters = {MDP: 475385}
> Progress 36.301%, elapsed 1960 s, estimated 5401 s, iters = {MDP: 476354}
> Progress 36.372%, elapsed 1963 s, estimated 5398 s, iters = {MDP: 477279}
> Progress 36.44%, elapsed 1966 s, estimated 5396 s, iters = {MDP: 478178}
> Progress 36.505%, elapsed 1969 s, estimated 5395 s, iters = {MDP: 479024}
> Progress 36.57%, elapsed 1972 s, estimated 5394 s, iters = {MDP: 479875}
> Progress 36.632%, elapsed 1975 s, estimated 5393 s, iters = {MDP: 480692}
> Progress 36.691%, elapsed 1978 s, estimated 5392 s, iters = {MDP: 481465}
> Progress 36.748%, elapsed 1981 s, estimated 5392 s, iters = {MDP: 482218}
> Progress 36.804%, elapsed 1984 s, estimated 5392 s, iters = {MDP: 482956}
> Progress 36.859%, elapsed 1987 s, estimated 5392 s, iters = {MDP: 483666}
> Progress 36.912%, elapsed 1990 s, estimated 5393 s, iters = {MDP: 484367}
> Progress 36.964%, elapsed 1993 s, estimated 5393 s, iters = {MDP: 485051}
> Progress 37.016%, elapsed 1996 s, estimated 5394 s, iters = {MDP: 485731}
> Progress 37.091%, elapsed 1999 s, estimated 5391 s, iters = {MDP: 486718}
> Progress 37.183%, elapsed 2002 s, estimated 5386 s, iters = {MDP: 487917}
> Progress 37.269%, elapsed 2005 s, estimated 5381 s, iters = {MDP: 489053}
> Progress 37.349%, elapsed 2008 s, estimated 5378 s, iters = {MDP: 490096}
> Progress 37.425%, elapsed 2011 s, estimated 5375 s, iters = {MDP: 491102}
> Progress 37.499%, elapsed 2014 s, estimated 5372 s, iters = {MDP: 492072}
> Progress 37.571%, elapsed 2017 s, estimated 5370 s, iters = {MDP: 493016}
> Progress 37.64%, elapsed 2020 s, estimated 5368 s, iters = {MDP: 493923}
> Progress 37.708%, elapsed 2023 s, estimated 5366 s, iters = {MDP: 494808}
> Progress 37.774%, elapsed 2026 s, estimated 5365 s, iters = {MDP: 495684}
> Progress 37.835%, elapsed 2029 s, estimated 5364 s, iters = {MDP: 496476}
> Progress 37.897%, elapsed 2032 s, estimated 5363 s, iters = {MDP: 497286}
> Progress 37.954%, elapsed 2035 s, estimated 5363 s, iters = {MDP: 498043}
> Progress 38.01%, elapsed 2038 s, estimated 5363 s, iters = {MDP: 498778}
> Progress 38.064%, elapsed 2041 s, estimated 5363 s, iters = {MDP: 499489}
> Progress 38.118%, elapsed 2044 s, estimated 5364 s, iters = {MDP: 500191}
> Progress 38.17%, elapsed 2047 s, estimated 5364 s, iters = {MDP: 500873}
> Progress 38.22%, elapsed 2050 s, estimated 5365 s, iters = {MDP: 501536}
> Progress 38.272%, elapsed 2053 s, estimated 5366 s, iters = {MDP: 502209}
> Progress 38.365%, elapsed 2056 s, estimated 5361 s, iters = {MDP: 503428}
> Progress 38.452%, elapsed 2059 s, estimated 5356 s, iters = {MDP: 504572}
> Progress 38.536%, elapsed 2062 s, estimated 5352 s, iters = {MDP: 505673}
> Progress 38.615%, elapsed 2065 s, estimated 5349 s, iters = {MDP: 506719}
> Progress 38.691%, elapsed 2068 s, estimated 5346 s, iters = {MDP: 507707}
> Progress 38.764%, elapsed 2071 s, estimated 5344 s, iters = {MDP: 508667}
> Progress 38.834%, elapsed 2074 s, estimated 5342 s, iters = {MDP: 509586}
> Progress 38.903%, elapsed 2077 s, estimated 5340 s, iters = {MDP: 510493}
> Progress 38.968%, elapsed 2080 s, estimated 5339 s, iters = {MDP: 511341}
> Progress 39.031%, elapsed 2083 s, estimated 5338 s, iters = {MDP: 512173}
> Progress 39.093%, elapsed 2086 s, estimated 5337 s, iters = {MDP: 512987}
> Progress 39.152%, elapsed 2089 s, estimated 5337 s, iters = {MDP: 513765}
> Progress 39.209%, elapsed 2092 s, estimated 5337 s, iters = {MDP: 514507}
> Progress 39.265%, elapsed 2095 s, estimated 5337 s, iters = {MDP: 515242}
> Progress 39.32%, elapsed 2098 s, estimated 5337 s, iters = {MDP: 515960}
> Progress 39.373%, elapsed 2101 s, estimated 5338 s, iters = {MDP: 516666}
> Progress 39.426%, elapsed 2104 s, estimated 5338 s, iters = {MDP: 517350}
> Progress 39.477%, elapsed 2107 s, estimated 5339 s, iters = {MDP: 518026}
> Progress 39.546%, elapsed 2110 s, estimated 5337 s, iters = {MDP: 518934}
> Progress 39.639%, elapsed 2113 s, estimated 5332 s, iters = {MDP: 520150}
> Progress 39.726%, elapsed 2116 s, estimated 5328 s, iters = {MDP: 521293}
> Progress 39.809%, elapsed 2119 s, estimated 5324 s, iters = {MDP: 522375}
> Progress 39.887%, elapsed 2122 s, estimated 5322 s, iters = {MDP: 523402}
> Progress 39.961%, elapsed 2125 s, estimated 5319 s, iters = {MDP: 524382}
> Progress 40.035%, elapsed 2128 s, estimated 5317 s, iters = {MDP: 525347}
> Progress 40.105%, elapsed 2131 s, estimated 5315 s, iters = {MDP: 526260}
> Progress 40.172%, elapsed 2134 s, estimated 5314 s, iters = {MDP: 527141}
> Progress 40.238%, elapsed 2137 s, estimated 5312 s, iters = {MDP: 528016}
> Progress 40.3%, elapsed 2140 s, estimated 5312 s, iters = {MDP: 528827}
> Progress 40.362%, elapsed 2143 s, estimated 5311 s, iters = {MDP: 529634}
> Progress 40.421%, elapsed 2146 s, estimated 5311 s, iters = {MDP: 530409}
> Progress 40.477%, elapsed 2149 s, estimated 5311 s, iters = {MDP: 531142}
> Progress 40.531%, elapsed 2152 s, estimated 5311 s, iters = {MDP: 531853}
> Progress 40.585%, elapsed 2155 s, estimated 5311 s, iters = {MDP: 532563}
> Progress 40.639%, elapsed 2158 s, estimated 5312 s, iters = {MDP: 533269}
> Progress 40.69%, elapsed 2161 s, estimated 5312 s, iters = {MDP: 533948}
> Progress 40.743%, elapsed 2164 s, estimated 5313 s, iters = {MDP: 534636}
> Progress 40.836%, elapsed 2167 s, estimated 5308 s, iters = {MDP: 535862}
> Progress 40.924%, elapsed 2170 s, estimated 5304 s, iters = {MDP: 537018}
> Progress 41.007%, elapsed 2173 s, estimated 5301 s, iters = {MDP: 538098}
> Progress 41.088%, elapsed 2176 s, estimated 5297 s, iters = {MDP: 539158}
> Progress 41.164%, elapsed 2179 s, estimated 5295 s, iters = {MDP: 540159}
> Progress 41.236%, elapsed 2182 s, estimated 5293 s, iters = {MDP: 541109}
> Progress 41.306%, elapsed 2185 s, estimated 5291 s, iters = {MDP: 542028}
> Progress 41.376%, elapsed 2188 s, estimated 5290 s, iters = {MDP: 542940}
> Progress 41.441%, elapsed 2191 s, estimated 5289 s, iters = {MDP: 543795}
> Progress 41.504%, elapsed 2194 s, estimated 5288 s, iters = {MDP: 544627}
> Progress 41.566%, elapsed 2197 s, estimated 5287 s, iters = {MDP: 545441}
> Progress 41.626%, elapsed 2200 s, estimated 5287 s, iters = {MDP: 546230}
> Progress 41.684%, elapsed 2203 s, estimated 5286 s, iters = {MDP: 546983}
> Progress 41.74%, elapsed 2206 s, estimated 5287 s, iters = {MDP: 547723}
> Progress 41.793%, elapsed 2209 s, estimated 5287 s, iters = {MDP: 548418}
> Progress 41.846%, elapsed 2212 s, estimated 5287 s, iters = {MDP: 549116}
> Progress 41.897%, elapsed 2215 s, estimated 5288 s, iters = {MDP: 549779}
> Progress 41.948%, elapsed 2218 s, estimated 5289 s, iters = {MDP: 550454}
> Progress 42.021%, elapsed 2221 s, estimated 5287 s, iters = {MDP: 551403}
> Progress 42.111%, elapsed 2224 s, estimated 5283 s, iters = {MDP: 552594}
> Progress 42.198%, elapsed 2227 s, estimated 5279 s, iters = {MDP: 553727}
> Progress 42.28%, elapsed 2230 s, estimated 5276 s, iters = {MDP: 554802}
> Progress 42.358%, elapsed 2233 s, estimated 5273 s, iters = {MDP: 555823}
> Progress 42.431%, elapsed 2236 s, estimated 5271 s, iters = {MDP: 556790}
> Progress 42.504%, elapsed 2239 s, estimated 5269 s, iters = {MDP: 557747}
> Progress 42.575%, elapsed 2242 s, estimated 5267 s, iters = {MDP: 558683}
> Progress 42.642%, elapsed 2245 s, estimated 5266 s, iters = {MDP: 559551}
> Progress 42.709%, elapsed 2248 s, estimated 5265 s, iters = {MDP: 560438}
> Progress 42.773%, elapsed 2251 s, estimated 5264 s, iters = {MDP: 561272}
> Progress 42.834%, elapsed 2254 s, estimated 5264 s, iters = {MDP: 562081}
> Progress 42.893%, elapsed 2257 s, estimated 5263 s, iters = {MDP: 562846}
> Progress 42.95%, elapsed 2260 s, estimated 5263 s, iters = {MDP: 563595}
> Progress 43.005%, elapsed 2263 s, estimated 5264 s, iters = {MDP: 564314}
> Progress 43.059%, elapsed 2266 s, estimated 5264 s, iters = {MDP: 565023}
> Progress 43.111%, elapsed 2269 s, estimated 5265 s, iters = {MDP: 565713}
> Progress 43.162%, elapsed 2272 s, estimated 5265 s, iters = {MDP: 566379}
> Progress 43.215%, elapsed 2275 s, estimated 5266 s, iters = {MDP: 567071}
> Progress 43.31%, elapsed 2278 s, estimated 5261 s, iters = {MDP: 568322}
> Progress 43.4%, elapsed 2281 s, estimated 5257 s, iters = {MDP: 569502}
> Progress 43.483%, elapsed 2284 s, estimated 5254 s, iters = {MDP: 570585}
> Progress 43.562%, elapsed 2287 s, estimated 5252 s, iters = {MDP: 571628}
> Progress 43.638%, elapsed 2290 s, estimated 5249 s, iters = {MDP: 572624}
> Progress 43.712%, elapsed 2293 s, estimated 5247 s, iters = {MDP: 573596}
> Progress 43.78%, elapsed 2296 s, estimated 5246 s, iters = {MDP: 574495}
> Progress 43.85%, elapsed 2299 s, estimated 5244 s, iters = {MDP: 575408}
> Progress 43.908%, elapsed 2302 s, estimated 5244 s, iters = {MDP: 576164}
> Progress 43.971%, elapsed 2305 s, estimated 5244 s, iters = {MDP: 576999}
> Progress 44.034%, elapsed 2308 s, estimated 5243 s, iters = {MDP: 577822}
> Progress 44.095%, elapsed 2311 s, estimated 5242 s, iters = {MDP: 578628}
> Progress 44.152%, elapsed 2314 s, estimated 5243 s, iters = {MDP: 579370}
> Progress 44.209%, elapsed 2317 s, estimated 5243 s, iters = {MDP: 580124}
> Progress 44.265%, elapsed 2320 s, estimated 5243 s, iters = {MDP: 580849}
> Progress 44.32%, elapsed 2323 s, estimated 5243 s, iters = {MDP: 581570}
> Progress 44.37%, elapsed 2326 s, estimated 5244 s, iters = {MDP: 582235}
> Progress 44.423%, elapsed 2329 s, estimated 5244 s, iters = {MDP: 582926}
> Progress 44.499%, elapsed 2332 s, estimated 5242 s, iters = {MDP: 583929}
> Progress 44.588%, elapsed 2335 s, estimated 5238 s, iters = {MDP: 585096}
> Progress 44.675%, elapsed 2338 s, estimated 5235 s, iters = {MDP: 586236}
> Progress 44.756%, elapsed 2341 s, estimated 5232 s, iters = {MDP: 587293}
> Progress 44.833%, elapsed 2344 s, estimated 5230 s, iters = {MDP: 588303}
> Progress 44.905%, elapsed 2347 s, estimated 5228 s, iters = {MDP: 589252}
> Progress 44.977%, elapsed 2350 s, estimated 5226 s, iters = {MDP: 590194}
> Progress 45.047%, elapsed 2353 s, estimated 5225 s, iters = {MDP: 591112}
> Progress 45.112%, elapsed 2356 s, estimated 5224 s, iters = {MDP: 591961}
> Progress 45.178%, elapsed 2359 s, estimated 5223 s, iters = {MDP: 592833}
> Progress 45.239%, elapsed 2362 s, estimated 5223 s, iters = {MDP: 593631}
> Progress 45.299%, elapsed 2365 s, estimated 5222 s, iters = {MDP: 594421}
> Progress 45.357%, elapsed 2368 s, estimated 5222 s, iters = {MDP: 595180}
> Progress 45.413%, elapsed 2371 s, estimated 5223 s, iters = {MDP: 595920}
> Progress 45.468%, elapsed 2374 s, estimated 5223 s, iters = {MDP: 596633}
> Progress 45.522%, elapsed 2377 s, estimated 5223 s, iters = {MDP: 597343}
> Progress 45.575%, elapsed 2380 s, estimated 5224 s, iters = {MDP: 598044}
> Progress 45.627%, elapsed 2383 s, estimated 5224 s, iters = {MDP: 598719}
> Progress 45.677%, elapsed 2386 s, estimated 5225 s, iters = {MDP: 599385}
> Progress 45.769%, elapsed 2389 s, estimated 5221 s, iters = {MDP: 600588}
> Progress 45.859%, elapsed 2392 s, estimated 5218 s, iters = {MDP: 601772}
> Progress 45.942%, elapsed 2395 s, estimated 5215 s, iters = {MDP: 602864}
> Progress 46.021%, elapsed 2398 s, estimated 5212 s, iters = {MDP: 603891}
> Progress 46.097%, elapsed 2401 s, estimated 5210 s, iters = {MDP: 604896}
> Progress 46.172%, elapsed 2404 s, estimated 5208 s, iters = {MDP: 605870}
> Progress 46.24%, elapsed 2407 s, estimated 5207 s, iters = {MDP: 606774}
> Progress 46.31%, elapsed 2410 s, estimated 5206 s, iters = {MDP: 607687}
> Progress 46.376%, elapsed 2414 s, estimated 5205 s, iters = {MDP: 608550}
> Progress 46.439%, elapsed 2417 s, estimated 5204 s, iters = {MDP: 609383}
> Progress 46.5%, elapsed 2420 s, estimated 5204 s, iters = {MDP: 610185}
> Progress 46.561%, elapsed 2423 s, estimated 5203 s, iters = {MDP: 610975}
> Progress 46.617%, elapsed 2426 s, estimated 5204 s, iters = {MDP: 611721}
> Progress 46.674%, elapsed 2429 s, estimated 5204 s, iters = {MDP: 612461}
> Progress 46.728%, elapsed 2432 s, estimated 5204 s, iters = {MDP: 613173}
> Progress 46.781%, elapsed 2435 s, estimated 5205 s, iters = {MDP: 613868}
> Progress 46.831%, elapsed 2438 s, estimated 5205 s, iters = {MDP: 614530}
> Progress 46.883%, elapsed 2441 s, estimated 5206 s, iters = {MDP: 615206}
> Progress 46.953%, elapsed 2444 s, estimated 5205 s, iters = {MDP: 616130}
> Progress 47.046%, elapsed 2447 s, estimated 5201 s, iters = {MDP: 617342}
> Progress 47.132%, elapsed 2450 s, estimated 5198 s, iters = {MDP: 618472}
> Progress 47.216%, elapsed 2453 s, estimated 5195 s, iters = {MDP: 619575}
> Progress 47.295%, elapsed 2456 s, estimated 5192 s, iters = {MDP: 620607}
> Progress 47.37%, elapsed 2459 s, estimated 5191 s, iters = {MDP: 621593}
> Progress 47.443%, elapsed 2462 s, estimated 5189 s, iters = {MDP: 622561}
> Progress 47.514%, elapsed 2465 s, estimated 5187 s, iters = {MDP: 623488}
> Progress 47.581%, elapsed 2468 s, estimated 5186 s, iters = {MDP: 624366}
> Progress 47.649%, elapsed 2471 s, estimated 5185 s, iters = {MDP: 625254}
> Progress 47.712%, elapsed 2474 s, estimated 5185 s, iters = {MDP: 626083}
> Progress 47.774%, elapsed 2477 s, estimated 5184 s, iters = {MDP: 626895}
> Progress 47.831%, elapsed 2480 s, estimated 5184 s, iters = {MDP: 627650}
> Progress 47.889%, elapsed 2483 s, estimated 5184 s, iters = {MDP: 628403}
> Progress 47.943%, elapsed 2486 s, estimated 5185 s, iters = {MDP: 629119}
> Progress 47.998%, elapsed 2489 s, estimated 5185 s, iters = {MDP: 629836}
> Progress 48.051%, elapsed 2492 s, estimated 5186 s, iters = {MDP: 630532}
> Progress 48.103%, elapsed 2495 s, estimated 5186 s, iters = {MDP: 631219}
> Progress 48.16%, elapsed 2498 s, estimated 5186 s, iters = {MDP: 631962}
> Progress 48.252%, elapsed 2501 s, estimated 5183 s, iters = {MDP: 633173}
> Progress 48.34%, elapsed 2504 s, estimated 5180 s, iters = {MDP: 634326}
> Progress 48.423%, elapsed 2507 s, estimated 5177 s, iters = {MDP: 635414}
> Progress 48.5%, elapsed 2510 s, estimated 5175 s, iters = {MDP: 636427}
> Progress 48.575%, elapsed 2513 s, estimated 5173 s, iters = {MDP: 637404}
> Progress 48.647%, elapsed 2516 s, estimated 5171 s, iters = {MDP: 638359}
> Progress 48.716%, elapsed 2519 s, estimated 5170 s, iters = {MDP: 639257}
> Progress 48.785%, elapsed 2522 s, estimated 5169 s, iters = {MDP: 640161}
> Progress 48.851%, elapsed 2525 s, estimated 5168 s, iters = {MDP: 641036}
> Progress 48.914%, elapsed 2528 s, estimated 5168 s, iters = {MDP: 641854}
> Progress 48.975%, elapsed 2531 s, estimated 5168 s, iters = {MDP: 642656}
> Progress 49.035%, elapsed 2534 s, estimated 5167 s, iters = {MDP: 643440}
> Progress 49.091%, elapsed 2537 s, estimated 5168 s, iters = {MDP: 644184}
> Progress 49.147%, elapsed 2540 s, estimated 5168 s, iters = {MDP: 644919}
> Progress 49.202%, elapsed 2543 s, estimated 5168 s, iters = {MDP: 645631}
> Progress 49.257%, elapsed 2546 s, estimated 5168 s, iters = {MDP: 646355}
> Progress 49.308%, elapsed 2549 s, estimated 5169 s, iters = {MDP: 647031}
> Progress 49.36%, elapsed 2552 s, estimated 5170 s, iters = {MDP: 647709}
> Progress 49.436%, elapsed 2555 s, estimated 5168 s, iters = {MDP: 648713}
> Progress 49.526%, elapsed 2558 s, estimated 5165 s, iters = {MDP: 649889}
> Progress 49.612%, elapsed 2561 s, estimated 5162 s, iters = {MDP: 651012}
> Progress 49.693%, elapsed 2564 s, estimated 5159 s, iters = {MDP: 652074}
> Progress 49.77%, elapsed 2567 s, estimated 5157 s, iters = {MDP: 653093}
> Progress 49.844%, elapsed 2570 s, estimated 5156 s, iters = {MDP: 654060}
> Progress 49.915%, elapsed 2573 s, estimated 5154 s, iters = {MDP: 654988}
> Progress 49.985%, elapsed 2576 s, estimated 5153 s, iters = {MDP: 655906}
> Progress 50.051%, elapsed 2579 s, estimated 5152 s, iters = {MDP: 656771}
> Progress 50.117%, elapsed 2582 s, estimated 5152 s, iters = {MDP: 657641}
> Progress 50.18%, elapsed 2585 s, estimated 5151 s, iters = {MDP: 658465}
> Progress 50.24%, elapsed 2588 s, estimated 5151 s, iters = {MDP: 659262}
> Progress 50.298%, elapsed 2591 s, estimated 5151 s, iters = {MDP: 660014}
> Progress 50.355%, elapsed 2594 s, estimated 5151 s, iters = {MDP: 660770}
> Progress 50.411%, elapsed 2597 s, estimated 5151 s, iters = {MDP: 661497}
> Progress 50.465%, elapsed 2600 s, estimated 5152 s, iters = {MDP: 662215}
> Progress 50.518%, elapsed 2603 s, estimated 5152 s, iters = {MDP: 662908}
> Progress 50.571%, elapsed 2606 s, estimated 5153 s, iters = {MDP: 663598}
> Progress 50.627%, elapsed 2609 s, estimated 5153 s, iters = {MDP: 664340}
> Progress 50.721%, elapsed 2612 s, estimated 5149 s, iters = {MDP: 665566}
> Progress 50.811%, elapsed 2615 s, estimated 5146 s, iters = {MDP: 666749}
> Progress 50.895%, elapsed 2618 s, estimated 5144 s, iters = {MDP: 667852}
> Progress 50.975%, elapsed 2621 s, estimated 5141 s, iters = {MDP: 668896}
> Progress 51.05%, elapsed 2624 s, estimated 5140 s, iters = {MDP: 669885}
> Progress 51.125%, elapsed 2627 s, estimated 5138 s, iters = {MDP: 670868}
> Progress 51.195%, elapsed 2630 s, estimated 5137 s, iters = {MDP: 671784}
> Progress 51.263%, elapsed 2633 s, estimated 5136 s, iters = {MDP: 672681}
> Progress 51.33%, elapsed 2636 s, estimated 5135 s, iters = {MDP: 673564}
> Progress 51.394%, elapsed 2639 s, estimated 5135 s, iters = {MDP: 674397}
> Progress 51.456%, elapsed 2642 s, estimated 5134 s, iters = {MDP: 675212}
> Progress 51.516%, elapsed 2645 s, estimated 5134 s, iters = {MDP: 676003}
> Progress 51.574%, elapsed 2648 s, estimated 5134 s, iters = {MDP: 676767}
> Progress 51.631%, elapsed 2651 s, estimated 5134 s, iters = {MDP: 677506}
> Progress 51.685%, elapsed 2654 s, estimated 5135 s, iters = {MDP: 678221}
> Progress 51.74%, elapsed 2657 s, estimated 5135 s, iters = {MDP: 678942}
> Progress 51.793%, elapsed 2660 s, estimated 5136 s, iters = {MDP: 679635}
> Progress 51.845%, elapsed 2663 s, estimated 5136 s, iters = {MDP: 680318}
> Progress 51.935%, elapsed 2666 s, estimated 5133 s, iters = {MDP: 681497}
> Progress 52.023%, elapsed 2669 s, estimated 5130 s, iters = {MDP: 682657}
> Progress 52.108%, elapsed 2672 s, estimated 5128 s, iters = {MDP: 683767}
> Progress 52.187%, elapsed 2675 s, estimated 5126 s, iters = {MDP: 684810}
> Progress 52.264%, elapsed 2678 s, estimated 5124 s, iters = {MDP: 685814}
> Progress 52.339%, elapsed 2681 s, estimated 5122 s, iters = {MDP: 686795}
> Progress 52.408%, elapsed 2684 s, estimated 5121 s, iters = {MDP: 687706}
> Progress 52.479%, elapsed 2687 s, estimated 5120 s, iters = {MDP: 688631}
> Progress 52.546%, elapsed 2690 s, estimated 5119 s, iters = {MDP: 689519}
> Progress 52.609%, elapsed 2693 s, estimated 5119 s, iters = {MDP: 690345}
> Progress 52.671%, elapsed 2696 s, estimated 5118 s, iters = {MDP: 691156}
> Progress 52.732%, elapsed 2699 s, estimated 5118 s, iters = {MDP: 691963}
> Progress 52.789%, elapsed 2702 s, estimated 5118 s, iters = {MDP: 692702}
> Progress 52.846%, elapsed 2705 s, estimated 5118 s, iters = {MDP: 693449}
> Progress 52.9%, elapsed 2708 s, estimated 5119 s, iters = {MDP: 694162}
> Progress 52.955%, elapsed 2711 s, estimated 5119 s, iters = {MDP: 694879}
> Progress 53.006%, elapsed 2714 s, estimated 5120 s, iters = {MDP: 695555}
> Progress 53.059%, elapsed 2717 s, estimated 5121 s, iters = {MDP: 696249}
> Progress 53.131%, elapsed 2720 s, estimated 5119 s, iters = {MDP: 697194}
> Progress 53.222%, elapsed 2723 s, estimated 5116 s, iters = {MDP: 698392}
> Progress 53.309%, elapsed 2726 s, estimated 5113 s, iters = {MDP: 699534}
> Progress 53.391%, elapsed 2729 s, estimated 5111 s, iters = {MDP: 700606}
> Progress 53.47%, elapsed 2732 s, estimated 5109 s, iters = {MDP: 701635}
> Progress 53.544%, elapsed 2735 s, estimated 5108 s, iters = {MDP: 702609}
> Progress 53.616%, elapsed 2738 s, estimated 5107 s, iters = {MDP: 703559}
> Progress 53.688%, elapsed 2741 s, estimated 5105 s, iters = {MDP: 704495}
> Progress 53.754%, elapsed 2744 s, estimated 5105 s, iters = {MDP: 705368}
> Progress 53.82%, elapsed 2747 s, estimated 5104 s, iters = {MDP: 706238}
> Progress 53.883%, elapsed 2750 s, estimated 5103 s, iters = {MDP: 707065}
> Progress 53.944%, elapsed 2753 s, estimated 5103 s, iters = {MDP: 707865}
> Progress 54.001%, elapsed 2756 s, estimated 5103 s, iters = {MDP: 708613}
> Progress 54.059%, elapsed 2759 s, estimated 5104 s, iters = {MDP: 709371}
> Progress 54.115%, elapsed 2762 s, estimated 5104 s, iters = {MDP: 710100}
> Progress 54.169%, elapsed 2765 s, estimated 5104 s, iters = {MDP: 710815}
> Progress 54.22%, elapsed 2768 s, estimated 5105 s, iters = {MDP: 711488}
> Progress 54.273%, elapsed 2771 s, estimated 5106 s, iters = {MDP: 712182}
> Progress 54.327%, elapsed 2774 s, estimated 5106 s, iters = {MDP: 712881}
> Progress 54.422%, elapsed 2777 s, estimated 5103 s, iters = {MDP: 714129}
> Progress 54.511%, elapsed 2780 s, estimated 5100 s, iters = {MDP: 715299}
> Progress 54.594%, elapsed 2783 s, estimated 5098 s, iters = {MDP: 716391}
> Progress 54.674%, elapsed 2786 s, estimated 5096 s, iters = {MDP: 717444}
> Progress 54.75%, elapsed 2789 s, estimated 5094 s, iters = {MDP: 718434}
> Progress 54.824%, elapsed 2792 s, estimated 5093 s, iters = {MDP: 719406}
> Progress 54.894%, elapsed 2795 s, estimated 5092 s, iters = {MDP: 720331}
> Progress 54.964%, elapsed 2798 s, estimated 5091 s, iters = {MDP: 721240}
> Progress 55.03%, elapsed 2801 s, estimated 5090 s, iters = {MDP: 722115}
> Progress 55.094%, elapsed 2804 s, estimated 5089 s, iters = {MDP: 722952}
> Progress 55.156%, elapsed 2807 s, estimated 5089 s, iters = {MDP: 723764}
> Progress 55.217%, elapsed 2810 s, estimated 5089 s, iters = {MDP: 724562}
> Progress 55.274%, elapsed 2813 s, estimated 5089 s, iters = {MDP: 725311}
> Progress 55.329%, elapsed 2816 s, estimated 5089 s, iters = {MDP: 726039}
> Progress 55.385%, elapsed 2819 s, estimated 5090 s, iters = {MDP: 726766}
> Progress 55.439%, elapsed 2822 s, estimated 5090 s, iters = {MDP: 727483}
> Progress 55.491%, elapsed 2825 s, estimated 5091 s, iters = {MDP: 728162}
> Progress 55.544%, elapsed 2828 s, estimated 5091 s, iters = {MDP: 728854}
> Progress 55.629%, elapsed 2831 s, estimated 5089 s, iters = {MDP: 729976}
> Progress 55.718%, elapsed 2834 s, estimated 5086 s, iters = {MDP: 731137}
> Progress 55.804%, elapsed 2837 s, estimated 5084 s, iters = {MDP: 732270}
> Progress 55.884%, elapsed 2840 s, estimated 5082 s, iters = {MDP: 733316}
> Progress 55.961%, elapsed 2843 s, estimated 5080 s, iters = {MDP: 734329}
> Progress 56.036%, elapsed 2846 s, estimated 5079 s, iters = {MDP: 735309}
